Org Name,Sector,Record Type,PIC Name,Role/Title,Org Email,Org Phone,Source URL,Date Collected
Indonesia Research Institute for Decarbonization (IRID),Environmental NGO,Org Contact,,,,2022 2023 2024,https://irid.or.id/en/hubungi-kami/,2026-09-02
Indonesia Research Institute for Decarbonization (IRID),Environmental NGO,Team Member,IRID TEAM,(role not found — check source),,,https://irid.or.id/en/tim-irid/,2026-09-02
Indonesia Research Institute for Decarbonization (IRID),Environmental NGO,Team Member,Salman Al Farisi,Chair of Board,,,https://irid.or.id/en/tim-irid/,2026-09-02
Indonesia Research Institute for Decarbonization (IRID),Environmental NGO,Team Member,Amanda Katili Niode,(role not found — check source),,,https://irid.or.id/en/tim-irid/,2026-09-02
Indonesia Research Institute for Decarbonization (IRID),Environmental NGO,Team Member,Moekti Handajani (Kuki) Soejachmoen,(role not found — check source),,,https://irid.or.id/en/tim-irid/,2026-09-02
Indonesia Research Institute for Decarbonization (IRID),Environmental NGO,Team Member,Andri Akbar Marthen,(role not found — check source),,,https://irid.or.id/en/tim-irid/,2026-09-02
Indonesia Research Institute for Decarbonization (IRID),Environmental NGO,Team Member,Henriette Imelda,POLICY ADVOCACY DIRECTOR,,,https://irid.or.id/en/tim-irid/,2026-09-02
Indonesia Research Institute for Decarbonization (IRID),Environmental NGO,Team Member,Sandra Juliana Tobing,(role not found — check source),,,https://irid.or.id/en/tim-irid/,2026-09-02
Indonesia Research Institute for Decarbonization (IRID),Environmental NGO,Team Member,Adhani Putri Andini,Junior Policy Advocacy Officer,,,https://irid.or.id/en/tim-irid/,2026-09-02
Indonesia Research Institute for Decarbonization (IRID),Environmental NGO,Team Member,Faisol Amir,(role not found — check source),,,https://irid.or.id/en/tim-irid/,2026-09-02
Indonesia Research Institute for Decarbonization (IRID),Environmental NGO,Team Member,Dany Amelia gozali,Junior Communications Officer,,,https://irid.or.id/en/tim-irid/,2026-09-02
Indonesia Research Institute for Decarbonization (IRID),Environmental NGO,Team Member,Muhammad Jamil,(role not found — check source),,,https://irid.or.id/en/tim-irid/,2026-09-02
Indonesia Research Institute for Decarbonization (IRID),Environmental NGO,Team Member,Ratna Ayu Lestari,(role not found — check source),,,https://irid.or.id/en/tim-irid/,2026-09-02
Indonesia Research Institute for Decarbonization (IRID),Environmental NGO,Team Member,Julia Theresya,Policy Advocacy Coordinator,,,https://irid.or.id/en/tim-irid/,2026-09-02
Indonesia Research Institute for Decarbonization (IRID),Environmental NGO,Team Member,Maria Putri Adianti,(role not found — check source),,,https://irid.or.id/en/tim-irid/,2026-09-02
Indonesia Research Institute for Decarbonization (IRID),Environmental NGO,Team Member,Ahmad Yakub Putra Pratama,(role not found — check source),,,https://irid.or.id/en/tim-irid/,2026-09-02
Indonesia Research Institute for Decarbonization (IRID),Environmental NGO,Team Member,Privacy Overview,Climate Diplomacy Intern,,,https://irid.or.id/en/tim-irid/,2026-09-02
Indonesia Research Institute for Decarbonization (IRID),Environmental NGO,Team Member,Aliya Chairunnisa,Climate Diplomacy Intern,,,https://irid.or.id/en/tim-irid/,2026-09-02
Indonesia Research Institute for Decarbonization (IRID),Environmental NGO,Team Member,Alifah Salsabila,Climate Diplomacy Intern,,,https://irid.or.id/en/tim-irid/,2026-09-02
Indonesia Research Institute for Decarbonization (IRID),Environmental NGO,Team Member,Putra Adriansyah,Climate Diplomacy Intern,,,https://irid.or.id/en/tim-irid/,2026-09-02
Indonesia Research Institute for Decarbonization (IRID),Environmental NGO,Team Member,Naomi Niken Agustina Butar-Butar,Climate Diplomacy Intern,,,https://irid.or.id/en/tim-irid/,2026-09-02
Indonesia Research Institute for Decarbonization (IRID),Environmental NGO,Team Member,Jasmine Husnaa Aqila,Climate Diplomacy Intern,,,https://irid.or.id/en/tim-irid/,2026-09-02
Indonesia Research Institute for Decarbonization (IRID),Environmental NGO,Team Member,Ahmad Yakub,Asisten Operasional,,,https://irid.or.id/en/tim-irid/,2026-09-02
Indonesia Research Institute for Decarbonization (IRID),Environmental NGO,Team Member,Safira Azizah,Climate Diplomacy Intern,,,https://irid.or.id/en/tim-irid/,2026-09-02
Indonesia Research Institute for Decarbonization (IRID),Environmental NGO,Team Member,Muhammad Rauf,Climate Diplomacy Intern,,,https://irid.or.id/en/tim-irid/,2026-09-02
Indonesia Research Institute for Decarbonization (IRID),Environmental NGO,Team Member,Anindya Novianti Putri,Staf Advokasi Kebijakan Junior,,,https://irid.or.id/en/tim-irid/,2026-09-02
Indonesia Research Institute for Decarbonization (IRID),Environmental NGO,Team Member,Hardhana Dinaring Danastri,Staf Advokasi Kebijakan Junior,,,https://irid.or.id/en/tim-irid/,2026-09-02
Indonesia Research Institute for Decarbonization (IRID),Environmental NGO,Team Member,Puti Ayla Zafira A,(role not found — check source),,,https://irid.or.id/en/tim-irid/,2026-09-02
Indonesia Research Institute for Decarbonization (IRID),Environmental NGO,Team Member,Yoppy Endano,Finance Manager,,,https://irid.or.id/en/tim-irid/,2026-09-02
Indonesia Research Institute for Decarbonization (IRID),Environmental NGO,Team Member,Esti Bertintya,Staf Operasional,,,https://irid.or.id/en/tim-irid/,2026-09-02
Indonesia Research Institute for Decarbonization (IRID),Environmental NGO,Team Member,Virtual Card,(role not found — check source),,,https://irid.or.id/en/tim-irid/,2026-09-02
Indonesia Research Institute for Decarbonization (IRID),Environmental NGO,Team Member,Dita Ramadhani,Communication Specialist,,,https://irid.or.id/en/tim-irid/,2026-09-02
Indonesia Research Institute for Decarbonization (IRID),Environmental NGO,Team Member,Ajeng Rachmatika,Researcher,,,https://irid.or.id/en/tim-irid/,2026-09-02
Kopernik,Environmental NGO,Org Contact,,,comms@kopernik.info,+1 347-587-8687; 62 361 9082,https://kopernik.info/en/about/contact,2026-09-02
Kopernik,Environmental NGO,Org Contact,,,comms@kopernik.info,,https://kopernik.info/en/user-agreement,2026-09-02
Kopernik,Environmental NGO,Team Member,Toshi Nakamura,Co-Founder and CEO,,,https://kopernik.info/en/about/our-team,2026-09-02
Kopernik,Environmental NGO,Team Member,Ewa Wojkowska,Co-Founder and COO,,,https://kopernik.info/en/about/our-team,2026-09-02
Kopernik,Environmental NGO,Team Member,Abrar Ridhollah,(role not found — check source),,,https://kopernik.info/en/about/our-team,2026-09-02
Kopernik,Environmental NGO,Team Member,Amelinda Kusumaningtyas,(role not found — check source),,,https://kopernik.info/en/about/our-team,2026-09-02
Kopernik,Environmental NGO,Team Member,Andre Dananjaya,Creative & Media Production Lead,,,https://kopernik.info/en/about/our-team,2026-09-02
Kopernik,Environmental NGO,Team Member,Annisa Nurulhuda,(role not found — check source),,,https://kopernik.info/en/about/our-team,2026-09-02
Kopernik,Environmental NGO,Team Member,Ardan Firmansyah,(role not found — check source),,,https://kopernik.info/en/about/our-team,2026-09-02
Kopernik,Environmental NGO,Team Member,Arvin Dwiarrahman,Director of Partnerships and Business Development,,,https://kopernik.info/en/about/our-team,2026-09-02
Kopernik,Environmental NGO,Team Member,Asty Banoet,(role not found — check source),,,https://kopernik.info/en/about/our-team,2026-09-02
Kopernik,Environmental NGO,Team Member,Visit Us,(role not found — check source),,,https://kopernik.info/en/about/our-team,2026-09-02
Kopernik,Environmental NGO,Team Member,Subscription Confirmed,(role not found — check source),,,https://kopernik.info/en/about/our-team,2026-09-02
Kopernik,Environmental NGO,Team Member,Register Success,Before you go!,,,https://kopernik.info/en/about/our-team,2026-09-02
